,car_name,model,Mileage,Year,Condition,Price
0,12,211,21204.0,2018,0,50015000
1,20,78,140309.0,2013,0,5015000
2,20,355,172709.0,2013,0,7115000
3,14,54,114936.0,2010,0,4815000
4,20,215,123938.5,2012,0,8515000
5,20,355,96091.0,2013,0,7615000
6,20,78,75422.0,2009,0,3515000
7,0,222,221505.0,2009,0,4215000
8,20,78,176996.0,2012,0,4865000
9,20,190,74479.0,2013,0,8815000
10,20,78,116368.2,2010,0,4865000
11,20,97,134462.0,2008,0,2815000
12,20,190,20820.0,2016,0,15015000
13,20,259,69601.0,2012,2,25015000
14,11,146,82310.0,2010,0,3515000
15,12,168,250414.9,2005,0,5815000
16,12,211,31504.0,2017,2,42515000
17,12,120,370921.0,2007,0,4415000
18,12,120,194550.0,2008,0,4645000
19,20,309,68326.0,2011,0,5515000
20,1,265,201050.0,2008,0,5685000
21,12,279,118888.0,2007,0,5115000
22,12,279,137471.0,2010,0,7765000
23,14,54,857506.0,2010,0,5315000
24,12,120,72443.0,2011,0,50015000
25,20,190,68453.0,2013,0,5015000
26,12,279,57451.0,2004,0,7115000
27,14,166,165901.0,2012,0,4815000
28,20,309,68208.0,2012,0,8515000
29,12,279,203162.0,2010,0,7615000
30,12,279,109763.4,2013,0,3515000
31,14,223,243717.0,2012,0,4215000
32,20,275,83554.0,2013,0,4865000
33,20,97,63380.0,2016,0,8815000
34,8,301,146372.0,2013,0,4865000
35,12,120,98219.0,2013,0,2815000
36,20,190,48415.0,2016,0,15015000
37,14,54,91406.0,2014,0,25015000
38,14,54,48013.0,2015,0,3515000
39,20,78,72283.0,2012,0,5815000
40,12,211,35751.0,2011,0,30015000
41,20,214,52310.0,2011,0,14515000
42,18,358,193892.0,2006,0,2515000
43,20,78,282613.0,2006,0,2797500
44,20,97,71584.0,2015,0,6515000
45,20,78,112019.0,2012,0,5680000
46,20,78,98697.0,2015,0,8770000
47,20,190,106800.0,2013,0,9285000
48,12,211,72443.0,2018,0,6215000
49,20,78,68453.0,2013,0,9315000
50,20,355,57451.0,2013,0,4765000
51,14,54,165901.0,2010,0,8265000
52,20,215,68208.0,2012,0,8265000
53,20,355,96091.0,2013,0,8265000
54,20,78,75422.0,2009,0,10725000
55,0,222,221505.0,2009,0,11315000
56,20,78,176996.0,2012,0,8015000
57,20,190,74479.0,2013,0,7015000
58,20,78,116368.2,2010,0,8515000
59,20,97,134462.0,2008,0,9015000
60,20,190,20820.0,2016,0,13515000
61,20,259,69601.0,2012,2,13015000
62,11,146,82310.0,2010,0,13015000
63,12,168,250414.9,2005,0,5015000
64,12,211,31504.0,2017,2,30015000
65,12,120,370921.0,2007,0,14515000
66,12,120,194550.0,2008,0,2515000
67,20,309,68326.0,2011,0,2797500
68,1,265,201050.0,2008,0,6515000
69,12,279,118888.0,2007,0,5680000
70,12,279,137471.0,2010,0,8770000
71,14,54,857506.0,2010,0,9285000
72,12,120,72443.0,2011,0,50015000
