,car_name,model,Mileage,Year,Condition,Price
0,lexus,LX,21204.0,2018,Foreign Used,50015000
1,toyota,Camry,140309.0,2013,Foreign Used,5015000
2,toyota,Venza,172709.0,2013,Foreign Used,7115000
3,mercedes-benz,C,114936.0,2010,Foreign Used,4815000
4,toyota,Lexus,123938.5,2012,Foreign Used,8515000
5,toyota,Venza,96091.0,2013,Foreign Used,7615000
6,toyota,Camry,75422.0,2009,Foreign Used,3515000
7,acura,MDX,221505.0,2009,Foreign Used,4215000
8,toyota,Camry,176996.0,2012,Foreign Used,4865000
9,toyota,Highlander,74479.0,2013,Foreign Used,8815000
10,toyota,Camry,116368.2,2010,Foreign Used,4865000
11,toyota,Corolla,134462.0,2008,Foreign Used,2815000
12,toyota,Highlander,20820.0,2016,Foreign Used,15015000
13,toyota,Prado,69601.0,2012,Nigerian Used,25015000
14,kia,Forte,82310.0,2010,Foreign Used,3515000
15,lexus,GX,250414.9,2005,Foreign Used,5815000
16,lexus,LX,31504.0,2017,Nigerian Used,42515000
17,lexus,ES,370921.0,2007,Foreign Used,4415000
18,lexus,ES,194550.0,2008,Foreign Used,4645000
19,toyota,Sienna,68326.0,2011,Foreign Used,5515000
20,audi,Q7,201050.0,2008,Foreign Used,5685000
21,lexus,RX,118888.0,2007,Foreign Used,5115000
22,lexus,RX,137471.0,2010,Foreign Used,7765000
23,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
24,lexus,ES,72443.0,2011,Foreign Used,50015000
25,toyota,Highlander,68453.0,2013,Foreign Used,5015000
26,lexus,RX,57451.0,2004,Foreign Used,7115000
27,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
28,toyota,Sienna,68208.0,2012,Foreign Used,8515000
29,lexus,RX,203162.0,2010,Foreign Used,7615000
30,lexus,RX,109763.4,2013,Foreign Used,3515000
31,mercedes-benz,ML,243717.0,2012,Foreign Used,4215000
32,toyota,RAV,83554.0,2013,Foreign Used,4865000
33,toyota,Corolla,63380.0,2016,Foreign Used,8815000
34,hyundai,Santa,146372.0,2013,Foreign Used,4865000
35,lexus,ES,98219.0,2013,Foreign Used,2815000
36,toyota,Highlander,48415.0,2016,Foreign Used,15015000
37,mercedes-benz,C,91406.0,2014,Foreign Used,25015000
38,mercedes-benz,C,48013.0,2015,Foreign Used,3515000
39,toyota,Camry,72283.0,2012,Foreign Used,5815000
40,lexus,LX,35751.0,2011,Foreign Used,30015000
41,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
42,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
43,toyota,Camry,282613.0,2006,Foreign Used,2797500
44,toyota,Corolla,71584.0,2015,Foreign Used,6515000
45,toyota,Camry,112019.0,2012,Foreign Used,5680000
46,toyota,Camry,98697.0,2015,Foreign Used,8770000
47,toyota,Highlander,106800.0,2013,Foreign Used,9285000
48,lexus,LX,72443.0,2018,Foreign Used,6215000
49,toyota,Camry,68453.0,2013,Foreign Used,9315000
50,toyota,Venza,57451.0,2013,Foreign Used,4765000
51,mercedes-benz,C,165901.0,2010,Foreign Used,8265000
52,toyota,Lexus,68208.0,2012,Foreign Used,8265000
53,toyota,Venza,96091.0,2013,Foreign Used,8265000
54,toyota,Camry,75422.0,2009,Foreign Used,10725000
55,acura,MDX,221505.0,2009,Foreign Used,11315000
56,toyota,Camry,176996.0,2012,Foreign Used,8015000
57,toyota,Highlander,74479.0,2013,Foreign Used,7015000
58,toyota,Camry,116368.2,2010,Foreign Used,8515000
59,toyota,Corolla,134462.0,2008,Foreign Used,9015000
60,toyota,Highlander,20820.0,2016,Foreign Used,13515000
61,toyota,Prado,69601.0,2012,Nigerian Used,13015000
62,kia,Forte,82310.0,2010,Foreign Used,13015000
63,lexus,GX,250414.9,2005,Foreign Used,5015000
64,lexus,LX,31504.0,2017,Nigerian Used,30015000
65,lexus,ES,370921.0,2007,Foreign Used,14515000
66,lexus,ES,194550.0,2008,Foreign Used,2515000
67,toyota,Sienna,68326.0,2011,Foreign Used,2797500
68,audi,Q7,201050.0,2008,Foreign Used,6515000
69,lexus,RX,118888.0,2007,Foreign Used,5680000
70,lexus,RX,137471.0,2010,Foreign Used,8770000
71,mercedes-benz,C,857506.0,2010,Foreign Used,9285000
72,lexus,ES,72443.0,2011,Foreign Used,50015000
73,toyota,Highlander,68453.0,2013,Foreign Used,5015000
74,lexus,RX,57451.0,2004,Foreign Used,7115000
75,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
76,toyota,Sienna,68208.0,2012,Foreign Used,8515000
77,lexus,RX,203162.0,2010,Foreign Used,7615000
78,lexus,RX,109763.4,2013,Foreign Used,3515000
79,mercedes-benz,ML,243717.0,2012,Foreign Used,4215000
80,toyota,RAV,83554.0,2013,Foreign Used,4865000
81,toyota,Corolla,63380.0,2016,Foreign Used,8815000
82,hyundai,Santa,146372.0,2013,Foreign Used,4865000
83,lexus,ES,98219.0,2013,Foreign Used,2815000
84,toyota,Highlander,48415.0,2016,Foreign Used,15015000
85,mercedes-benz,C,91406.0,2014,Foreign Used,25015000
86,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
87,toyota,Camry,72283.0,2012,Foreign Used,5015000
88,lexus,LX,35751.0,2011,Foreign Used,30015000
89,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
90,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
91,toyota,Camry,282613.0,2006,Foreign Used,2797500
92,toyota,Corolla,71584.0,2015,Foreign Used,6515000
93,toyota,Camry,112019.0,2012,Foreign Used,5680000
94,toyota,Camry,98697.0,2015,Foreign Used,8770000
95,toyota,Highlander,106800.0,2013,Foreign Used,9285000
96,lexus,LX,21204.0,2018,Foreign Used,6215000
97,toyota,Camry,140309.0,2013,Foreign Used,9315000
98,toyota,Venza,172709.0,2013,Foreign Used,4765000
99,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
100,toyota,Lexus,123938.5,2012,Foreign Used,8265000
101,toyota,Venza,96091.0,2013,Foreign Used,8265000
102,toyota,Camry,75422.0,2009,Foreign Used,10725000
103,acura,MDX,221505.0,2009,Foreign Used,11315000
104,toyota,Camry,176996.0,2012,Foreign Used,8015000
105,toyota,Highlander,74479.0,2013,Foreign Used,7015000
106,toyota,Camry,116368.2,2010,Foreign Used,8515000
107,toyota,Corolla,134462.0,2008,Foreign Used,9015000
108,toyota,Highlander,20820.0,2016,Foreign Used,13515000
109,toyota,Prado,69601.0,2012,Nigerian Used,13015000
110,kia,Forte,82310.0,2010,Foreign Used,3515000
111,lexus,GX,250414.9,2005,Foreign Used,5815000
112,lexus,LX,31504.0,2017,Nigerian Used,42515000
113,lexus,ES,370921.0,2007,Foreign Used,4415000
114,lexus,ES,194550.0,2008,Foreign Used,4645000
115,toyota,Sienna,68326.0,2011,Foreign Used,5515000
116,audi,Q7,201050.0,2008,Foreign Used,5685000
117,lexus,RX,118888.0,2007,Foreign Used,5115000
118,lexus,RX,137471.0,2010,Foreign Used,7765000
119,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
120,lexus,ES,72443.0,2011,Foreign Used,50015000
121,toyota,Highlander,68453.0,2013,Foreign Used,5015000
122,lexus,RX,57451.0,2004,Foreign Used,7115000
123,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
124,toyota,Sienna,68208.0,2012,Foreign Used,8515000
125,lexus,RX,203162.0,2010,Foreign Used,7615000
126,lexus,RX,109763.4,2013,Foreign Used,3515000
127,mercedes-benz,ML,243717.0,2012,Foreign Used,4215000
128,toyota,RAV,83554.0,2013,Foreign Used,4865000
129,toyota,Corolla,63380.0,2016,Foreign Used,8815000
130,hyundai,Santa,146372.0,2013,Foreign Used,4865000
131,lexus,ES,98219.0,2013,Foreign Used,2815000
132,toyota,Highlander,48415.0,2016,Foreign Used,15015000
133,mercedes-benz,C,91406.0,2014,Foreign Used,25015000
134,mercedes-benz,C,48013.0,2015,Foreign Used,3515000
135,toyota,Camry,72283.0,2012,Foreign Used,5015000
136,lexus,LX,35751.0,2011,Foreign Used,30015000
137,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
138,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
139,toyota,Camry,282613.0,2006,Foreign Used,2797500
140,toyota,Corolla,71584.0,2015,Foreign Used,6515000
141,toyota,Camry,112019.0,2012,Foreign Used,5680000
142,toyota,Camry,98697.0,2015,Foreign Used,8770000
143,toyota,Highlander,106800.0,2013,Foreign Used,9285000
144,lexus,LX,21204.0,2018,Foreign Used,6215000
145,toyota,Camry,140309.0,2013,Foreign Used,9315000
146,toyota,Venza,172709.0,2013,Foreign Used,4765000
147,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
148,toyota,Lexus,123938.5,2012,Foreign Used,8265000
149,toyota,Venza,96091.0,2013,Foreign Used,8265000
150,toyota,Camry,75422.0,2009,Foreign Used,10725000
151,acura,MDX,221505.0,2009,Foreign Used,11315000
152,toyota,Camry,176996.0,2012,Foreign Used,8015000
153,toyota,Highlander,74479.0,2013,Foreign Used,7015000
154,toyota,Camry,116368.2,2010,Foreign Used,8515000
155,toyota,Corolla,134462.0,2008,Foreign Used,2815000
156,toyota,Highlander,20820.0,2016,Foreign Used,15015000
157,toyota,Prado,69601.0,2012,Nigerian Used,25015000
158,kia,Forte,82310.0,2010,Foreign Used,3515000
159,lexus,GX,250414.9,2005,Foreign Used,5815000
160,lexus,LX,31504.0,2017,Nigerian Used,42515000
161,lexus,ES,370921.0,2007,Foreign Used,4415000
162,lexus,ES,194550.0,2008,Foreign Used,4645000
163,toyota,Sienna,68326.0,2011,Foreign Used,5515000
164,audi,Q7,201050.0,2008,Foreign Used,5685000
165,lexus,RX,118888.0,2007,Foreign Used,5115000
166,lexus,RX,137471.0,2010,Foreign Used,7765000
167,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
