make,mileage(Km),year,condition,price(₦)
Ford F-150 ,177341,2005, Foreign Used  ," 3,270,000                                        
                                    "
 Mercedes-Benz C300,93916,2015, Nigerian Used  ," 10,090,000                                        
                                    "
 Mazda 3,201640,2010, Foreign Used  ," 2,250,000                                        
                                    "
 Nissan Almera,115599,2012, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Camry,98986,2004, Nigerian Used  ," 1,578,000                                        
                                    "
 Honda Pilot,263060,2006, Foreign Used  ," 3,370,000                                        
                                    "
 Lexus Es 300,216399,2002, Nigerian Used  ," 1,466,000                                        
                                    "
 Mazda Mpv,204743,2000, Nigerian Used  ," 480,400                                        
                                    "
 Toyota Sienna,10251,2019, Foreign Used  ," 14,570,000                                        
                                    "
 Ford Windstar,242189,2000, Nigerian Used  ," 794,000                                        
                                    "
 Toyota HiAce,146117,2000, Nigerian Used  ," 7,514,000                                        
                                    "
 Lexus Is 250,144510,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Nissan Urvan,277181,2013, Nigerian Used  ," 3,258,000                                        
                                    "
 Lexus GS 350,191463,2008, Foreign Used  ," 5,050,000                                        
                                    "
 Suzuki Sx4,121829,2010, Nigerian Used  ," 1,018,000                                        
                                    "
 Volkswagen Golf,289650,1999, Nigerian Used  ," 626,000                                        
                                    "
 Toyota Highlander,203658,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Chevrolet Cruze,277019,2013, Nigerian Used  ," 1,466,000                                        
                                    "
 Honda Civic,234441,2011, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Rav4,97891,2007, Nigerian Used  ," 2,362,000                                        
                                    "
 Volkswagen Tiguan,60731,2012, Nigerian Used  ," 1,802,000                                        
                                    "
 Mazda 3,327018,2010, Foreign Used  ," 3,818,000                                        
                                    "
 Toyota Yaris,113995,2003, Foreign Used  ," 1,354,000                                        
                                    "
 Acura Zdx,123928,2013, Foreign Used  ," 6,730,000                                        
                                    "
 Honda Pilot,175492,2008, Nigerian Used  ," 2,474,000                                        
                                    "
 Lexus Rx 300,221181,2000, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,113585,2013, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Sienna,264357,2000, Nigerian Used  ," 1,466,000                                        
                                    "
 Honda Cr-V,311431,1998, Nigerian Used  ," 570,000                                        
                                    "
 Nissan Rogue,66704,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Rav4,249734,1999, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Highlander,101195,2002, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Matrix,299999,2006, Nigerian Used  ," 1,186,000                                        
                                    "
 Toyota Corolla,116856,2006, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Tundra,334038,2008, Foreign Used  ," 6,730,000                                        
                                    "
 Acura Mdx,198225,2008, Nigerian Used  ," 2,250,000                                        
                                    "
 Lexus Rx300,91408,1999, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Avalon,94806,2005, Nigerian Used  ," 3,034,000                                        
                                    "
 Hyundai Sonata,38581,2014, Nigerian Used  ," 3,370,000                                        
                                    "
 Toyota Avalon,112392,2013, Nigerian Used  ," 5,610,000                                        
                                    "
 Mercedes-Benz GL450,136056,2007, Nigerian Used  ," 2,474,000                                        
                                    "
 Nissan Pathfinder,189941,2002, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Camry,29503,2015, Nigerian Used  ," 4,378,000                                        
                                    "
 Land Rover Range Rover Sport,82891,2006, Nigerian Used  ," 5,386,000                                        
                                    "
 Mercedes-Benz GLK 350,102793,2010, Nigerian Used  ," 6,282,000                                        
                                    "
 Dodge Caliber,262385,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 Kia Rio,5800,2020, Nigerian Used  ," 4,490,000                                        
                                    "
 Ford Edge,61848,2007, Nigerian Used  ," 1,690,000                                        
                                    "
 BMW X5,186822,2011, Nigerian Used  ," 8,074,000                                        
                                    "
 Acura Rl,69335,2005, Nigerian Used  ," 1,130,000                                        
                                    "
 Mitsubishi Outlander,83724,2006, Foreign Used  ," 2,026,000                                        
                                    "
 Kia Mohave,174086,2013, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Camry,97852,2007, Nigerian Used  ," 2,418,000                                        
                                    "
 Peugeot 307,90890,2008, Foreign Used  ," 458,000                                        
                                    "
 Mazda 626,157027,2000, Foreign Used  ," 1,522,000                                        
                                    "
 Infiniti Fx,125308,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Camry,287628,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Sienna,243669,2001, Nigerian Used  ," 1,018,000                                        
                                    "
 Hyundai Santa Fe,19034,2015, Nigerian Used  ," 8,410,000                                        
                                    "
Buick Lacrosse,74761,0000, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Sienna,170144,1999, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Camry,6575,2019, Nigerian Used  ," 10,650,000                                        
                                    "
 Lexus Rx 300,114344,1999, Nigerian Used  ," 962,000                                        
                                    "
 Toyota Corolla,146532,2010, Foreign Used  ," 3,034,000                                        
                                    "
 Mazda Premacy,169963,2003, Nigerian Used  ," 906,000                                        
                                    "
 Lexus Es 350,91678,2008, Foreign Used  ," 4,154,000                                        
                                    "
 Mazda 3,209606,2007, Foreign Used  ," 1,858,000                                        
                                    "
 Toyota 4Runner,216027,2000, Nigerian Used  ," 928,400                                        
                                    "
