car_name,model,mileage(Km),year,condition,price(₦)
Ford,F-150,177341,2005,ForeignUsed,3270000
Mercedes-Benz,C300,93916,2015,NigerianUsed,10090000
Mazda,3,201640,2010,ForeignUsed,2250000
Nissan,Almera,115599,2012,NigerianUsed,1018000
Toyota,Camry,98986,2004,NigerianUsed,1578000
Honda,Pilot,263060,2006,ForeignUsed,3370000
Lexus,Es,216399,2002,NigerianUsed,1466000
Mazda,Mpv,204743,2000,NigerianUsed,480400
Toyota,Sienna,10251,2019,ForeignUsed,14570000
Ford,Windstar,242189,2000,NigerianUsed,794000
Toyota,HiAce,146117,2000,NigerianUsed,7514000
Lexus,Is,144510,2007,NigerianUsed,2026000
Nissan,Urvan,277181,2013,NigerianUsed,3258000
Lexus,GS,191463,2008,ForeignUsed,5050000
Suzuki,Sx4,121829,2010,NigerianUsed,1018000
Volkswagen,Golf,289650,1999,NigerianUsed,626000
Toyota,Highlander,203658,2005,NigerianUsed,1690000
Chevrolet,Cruze,277019,2013,NigerianUsed,1466000
Honda,Civic,234441,2011,ForeignUsed,2810000
Toyota,Rav4,97891,2007,NigerianUsed,2362000
Volkswagen,Tiguan,60731,2012,NigerianUsed,1802000
Mazda,3,327018,2010,ForeignUsed,3818000
Toyota,Yaris,113995,2003,ForeignUsed,1354000
Acura,Zdx,123928,2013,ForeignUsed,6730000
Honda,Pilot,175492,2008,NigerianUsed,2474000
Lexus,Rx,221181,2000,NigerianUsed,1690000
Toyota,Corolla,113585,2013,NigerianUsed,2810000
Toyota,Sienna,264357,2000,NigerianUsed,1466000
Honda,Cr-V,311431,1998,NigerianUsed,570000
Nissan,Rogue,66704,2008,NigerianUsed,1354000
Toyota,Rav4,249734,1999,NigerianUsed,794000
Toyota,Highlander,101195,2002,NigerianUsed,1690000
Toyota,Matrix,299999,2006,NigerianUsed,1186000
Toyota,Corolla,116856,2006,NigerianUsed,1802000
Toyota,Tundra,334038,2008,ForeignUsed,6730000
Acura,Mdx,198225,2008,NigerianUsed,2250000
Lexus,Rx300,91408,1999,NigerianUsed,1690000
Toyota,Avalon,94806,2005,NigerianUsed,3034000
Hyundai,Sonata,38581,2014,NigerianUsed,3370000
Toyota,Avalon,112392,2013,NigerianUsed,5610000
Mercedes-Benz,GL450,136056,2007,NigerianUsed,2474000
Nissan,Pathfinder,189941,2002,NigerianUsed,906000
Toyota,Camry,29503,2015,NigerianUsed,4378000
Land,Rover,82891,2006,NigerianUsed,5386000
Mercedes-Benz,GLK,102793,2010,NigerianUsed,6282000
Dodge,Caliber,262385,2007,NigerianUsed,1690000
Kia,Rio,5800,2020,NigerianUsed,4490000
Ford,Edge,61848,2007,NigerianUsed,1690000
BMW,X5,186822,2011,NigerianUsed,8074000
Acura,Rl,69335,2005,NigerianUsed,1130000
Mitsubishi,Outlander,83724,2006,ForeignUsed,2026000
Kia,Mohave,174086,2013,NigerianUsed,2026000
Toyota,Camry,97852,2007,NigerianUsed,2418000
Peugeot,307,90890,2008,ForeignUsed,458000
Mazda,626,157027,2000,ForeignUsed,1522000
Infiniti,Fx,125308,2004,NigerianUsed,1130000
Toyota,Camry,287628,2002,NigerianUsed,1354000
Toyota,Sienna,243669,2001,NigerianUsed,1018000
Hyundai,Santa,19034,2015,NigerianUsed,8410000
Buick,Lacrosse,74761,0,NigerianUsed,5050000
Toyota,Sienna,170144,1999,NigerianUsed,738000
Toyota,Camry,6575,2019,NigerianUsed,10650000
Lexus,Rx,114344,1999,NigerianUsed,962000
Toyota,Corolla,146532,2010,ForeignUsed,3034000
Mazda,Premacy,169963,2003,NigerianUsed,906000
Lexus,Es,91678,2008,ForeignUsed,4154000
Mazda,3,209606,2007,ForeignUsed,1858000
Toyota,4Runner,216027,2000,NigerianUsed,928400
BMW,5,185232,2006,NigerianUsed,1914000
Ford,Edge,103835,2013,NigerianUsed,2810000
Honda,Accord,106879,2006,NigerianUsed,1354000
Nissan,Frontier,241489,2003,NigerianUsed,1130000
Lexus,Rx,242193,2000,NigerianUsed,1802000
Toyota,Corolla,105536,2012,ForeignUsed,4154000
Honda,Pilot,210537,2006,NigerianUsed,1130000
Ford,Escape,135252,2008,NigerianUsed,906000
Lexus,Es,168447,2005,NigerianUsed,1578000
Lexus,Es,180684,2008,NigerianUsed,3146000
Toyota,Camry,107222,2004,ForeignUsed,2250000
Toyota,Yaris,137400,2007,NigerianUsed,1130000
Toyota,Camry,20873,2017,NigerianUsed,7290000
Toyota,Corolla,221421,2007,NigerianUsed,1746000
Toyota,Camry,328916,2003,NigerianUsed,1578000
Honda,Accord,232654,2005,NigerianUsed,1130000
Nissan,Primera,202124,2002,ForeignUsed,1130000
Mercedes-Benz,Ml350,112478,2006,ForeignUsed,3034000
Toyota,Corolla,174579,2009,ForeignUsed,4042000
Volvo,Xc90,134799,2005,NigerianUsed,1130000
Toyota,Solara,75541,2006,NigerianUsed,1242000
Mercedes-Benz,R350,212438,2007,ForeignUsed,3370000
Toyota,Matrix,99999,2006,NigerianUsed,1466000
Lexus,Is,181452,2007,ForeignUsed,2922000
Toyota,Matrix,207493,2004,NigerianUsed,1130000
Ford,Explorer,152486,2014,NigerianUsed,7850000
Toyota,Corolla,178385,2006,NigerianUsed,1242000
Hyundai,Santa,107366,2008,NigerianUsed,2586000
Kia,Rio,121375,2014,NigerianUsed,2250000
Toyota,Highlander,92157,2004,NigerianUsed,1690000
Toyota,Land,174725,2007,NigerianUsed,3482000
Hyundai,Sonata,10431,2019,NigerianUsed,8074000
