make,mileage,year,condition,price
Ford F-150 2005," 177,341Km
"," 2005
", Foreign Used  ," 3,270,000                                        
                                    "
2015 Toyota Corolla," 2015
"," NL-000222
", Foreign Used  ," 4,750,000                                        
                                    "
2019 Mercedes-Benz GLC300," 2019
"," NL-000162
", Foreign Used  ," 20,000,000                                        
                                    "
2014 Mercedes-Benz ML350," 2014
"," NL-000217
", Foreign Used  ," 15,200,000                                        
                                    "
2015 Mercedes-Benz C300," 93,916Km
"," 2015
", Nigerian Used  ," 10,090,000                                        
                                    "
2017 Mitsubishi Outlander," 2017
"," NL-000218
", Foreign Used  ," 13,500,000                                        
                                    "
2016 Lexus GX460," 2016
"," NL-000163
", Foreign Used  ," 18,000,000                                        
                                    "
2016 Mercedes Benz GLE450," 2016
"," NL-000169
", Foreign Used  ," 40,000,000                                        
                                    "
2017 Lexus IS250," 2017
"," NL-000168
", Foreign Used  ," 9,000,000                                        
                                    "
2010 Mazda 3," 201,640Km
"," 2010
", Foreign Used  ," 2,250,000                                        
                                    "
2010 Mercedes-Benz C300," 2010
"," NG-912345
", Foreign Used  ," 4,322,000                                        
                                    "
2012 Nissan Almera," 115,599Km
"," 2012
", Nigerian Used  ," 1,018,000                                        
                                    "
2004 Toyota Camry," 98,986Km
"," 2004
", Nigerian Used  ," 1,578,000                                        
                                    "
2006 Honda Pilot," 263,060Km
"," 2006
", Foreign Used  ," 3,370,000                                        
                                    "
2002 Lexus Es 300," 216,399Km
"," 2002
", Nigerian Used  ," 1,466,000                                        
                                    "
2000 Mazda Mpv," 204,743Km
"," 2000
", Nigerian Used  ," 480,400                                        
                                    "
2019 Toyota Sienna," 10,251Km
"," 2019
", Foreign Used  ," 14,570,000                                        
                                    "
2000 Ford Windstar," 242,189Km
"," 2000
", Nigerian Used  ," 794,000                                        
                                    "
2000 Toyota HiAce," 146,117Km
"," 2000
", Nigerian Used  ," 7,514,000                                        
                                    "
2007 Lexus Is 250," 144,510Km
"," 2007
", Nigerian Used  ," 2,026,000                                        
                                    "
2013 Nissan Urvan," 277,181Km
"," 2013
", Nigerian Used  ," 3,258,000                                        
                                    "
2008 Lexus GS 350," 191,463Km
"," 2008
", Foreign Used  ," 5,050,000                                        
                                    "
2010 Suzuki Sx4," 121,829Km
"," 2010
", Nigerian Used  ," 1,018,000                                        
                                    "
1999 Volkswagen Golf," 289,650Km
"," 1999
", Nigerian Used  ," 626,000                                        
                                    "
2005 Toyota Highlander," 203,658Km
"," 2005
", Nigerian Used  ," 1,690,000                                        
                                    "
2013 Chevrolet Cruze," 277,019Km
"," 2013
", Nigerian Used  ," 1,466,000                                        
                                    "
2011 Honda Civic," 234,441Km
"," 2011
", Foreign Used  ," 2,810,000                                        
                                    "
2007 Toyota Rav4," 97,891Km
"," 2007
", Nigerian Used  ," 2,362,000                                        
                                    "
2012 Volkswagen Tiguan," 60,731Km
"," 2012
", Nigerian Used  ," 1,802,000                                        
                                    "
2010 Mazda 3," 327,018Km
"," 2010
", Foreign Used  ," 3,818,000                                        
                                    "
2003 Toyota Yaris," 113,995Km
"," 2003
", Foreign Used  ," 1,354,000                                        
                                    "
2013 Acura Zdx," 123,928Km
"," 2013
", Foreign Used  ," 6,730,000                                        
                                    "
2008 Honda Pilot," 175,492Km
"," 2008
", Nigerian Used  ," 2,474,000                                        
                                    "
2000 Lexus Rx 300," 221,181Km
"," 2000
", Nigerian Used  ," 1,690,000                                        
                                    "
2013 Toyota Corolla," 113,585Km
"," 2013
", Nigerian Used  ," 2,810,000                                        
                                    "
2000 Toyota Sienna," 264,357Km
"," 2000
", Nigerian Used  ," 1,466,000                                        
                                    "
1998 Honda Cr-V," 311,431Km
"," 1998
", Nigerian Used  ," 570,000                                        
                                    "
2008 Nissan Rogue," 66,704Km
"," 2008
", Nigerian Used  ," 1,354,000                                        
                                    "
1999 Toyota Rav4," 249,734Km
"," 1999
", Nigerian Used  ," 794,000                                        
                                    "
2002 Toyota Highlander," 101,195Km
"," 2002
", Nigerian Used  ," 1,690,000                                        
                                    "
2006 Toyota Matrix," 299,999Km
"," 2006
", Nigerian Used  ," 1,186,000                                        
                                    "
2006 Toyota Corolla," 116,856Km
"," 2006
", Nigerian Used  ," 1,802,000                                        
                                    "
2008 Toyota Tundra," 334,038Km
"," 2008
", Foreign Used  ," 6,730,000                                        
                                    "
2008 Acura Mdx," 198,225Km
"," 2008
", Nigerian Used  ," 2,250,000                                        
                                    "
1999 Lexus Rx300," 91,408Km
"," 1999
", Nigerian Used  ," 1,690,000                                        
                                    "
2005 Toyota Avalon," 94,806Km
"," 2005
", Nigerian Used  ," 3,034,000                                        
                                    "
2014 Hyundai Sonata," 38,581Km
"," 2014
", Nigerian Used  ," 3,370,000                                        
                                    "
2013 Toyota Avalon," 112,392Km
"," 2013
", Nigerian Used  ," 5,610,000                                        
                                    "
2007 Mercedes-Benz GL450," 136,056Km
"," 2007
", Nigerian Used  ," 2,474,000                                        
                                    "
2002 Nissan Pathfinder," 189,941Km
"," 2002
", Nigerian Used  ," 906,000                                        
                                    "
2015 Toyota Camry," 29,503Km
"," 2015
", Nigerian Used  ," 4,378,000                                        
                                    "
2006 Land Rover Range Rover Sport," 82,891Km
"," 2006
", Nigerian Used  ," 5,386,000                                        
                                    "
2010 Mercedes-Benz GLK 350," 102,793Km
"," 2010
", Nigerian Used  ," 6,282,000                                        
                                    "
2007 Dodge Caliber," 262,385Km
"," 2007
", Nigerian Used  ," 1,690,000                                        
                                    "
2020 Kia Rio," 5,800Km
"," 2020
", Nigerian Used  ," 4,490,000                                        
                                    "
2007 Ford Edge," 61,848Km
"," 2007
", Nigerian Used  ," 1,690,000                                        
                                    "
2011 BMW X5," 186,822Km
"," 2011
", Nigerian Used  ," 8,074,000                                        
                                    "
2005 Acura Rl," 69,335Km
"," 2005
", Nigerian Used  ," 1,130,000                                        
                                    "
2006 Mitsubishi Outlander," 83,724Km
"," 2006
", Foreign Used  ," 2,026,000                                        
                                    "
2013 Kia Mohave," 174,086Km
"," 2013
", Nigerian Used  ," 2,026,000                                        
                                    "
2007 Toyota Camry," 97,852Km
"," 2007
", Nigerian Used  ," 2,418,000                                        
                                    "
2008 Peugeot 307," 90,890Km
"," 2008
", Foreign Used  ," 458,000                                        
                                    "
2000 Mazda 626," 157,027Km
"," 2000
", Foreign Used  ," 1,522,000                                        
                                    "
2004 Infiniti Fx," 125,308Km
"," 2004
", Nigerian Used  ," 1,130,000                                        
                                    "
2002 Toyota Camry," 287,628Km
"," 2002
", Nigerian Used  ," 1,354,000                                        
                                    "
2001 Toyota Sienna," 243,669Km
"," 2001
", Nigerian Used  ," 1,018,000                                        
                                    "
2015 Hyundai Santa Fe," 19,034Km
"," 2015
", Nigerian Used  ," 8,410,000                                        
                                    "
Buick Lacrosse," 74,761Km
"," 0000
", Nigerian Used  ," 5,050,000                                        
                                    "
1999 Toyota Sienna," 170,144Km
"," 1999
", Nigerian Used  ," 738,000                                        
                                    "
2019 Toyota Camry," 6,575Km
"," 2019
", Nigerian Used  ," 10,650,000                                        
                                    "
1999 Lexus Rx 300," 114,344Km
"," 1999
", Nigerian Used  ," 962,000                                        
                                    "
2010 Toyota Corolla," 146,532Km
"," 2010
", Foreign Used  ," 3,034,000                                        
                                    "
2003 Mazda Premacy," 169,963Km
"," 2003
", Nigerian Used  ," 906,000                                        
                                    "
2008 Lexus Es 350," 91,678Km
"," 2008
", Foreign Used  ," 4,154,000                                        
                                    "
2007 Mazda 3," 209,606Km
"," 2007
", Foreign Used  ," 1,858,000                                        
                                    "
2000 Toyota 4Runner," 216,027Km
"," 2000
", Nigerian Used  ," 928,400                                        
                                    "
2006 BMW 5 Series," 185,232Km
"," 2006
", Nigerian Used  ," 1,914,000                                        
                                    "
2013 Ford Edge," 103,835Km
"," 2013
", Nigerian Used  ," 2,810,000                                        
                                    "
2006 Honda Accord," 106,879Km
"," 2006
", Nigerian Used  ," 1,354,000                                        
                                    "
2003 Nissan Frontier," 241,489Km
"," 2003
", Nigerian Used  ," 1,130,000                                        
                                    "
2000 Lexus Rx 300," 242,193Km
"," 2000
", Nigerian Used  ," 1,802,000                                        
                                    "
2012 Toyota Corolla," 105,536Km
"," 2012
", Foreign Used  ," 4,154,000                                        
                                    "
2006 Honda Pilot," 210,537Km
"," 2006
", Nigerian Used  ," 1,130,000                                        
                                    "
2008 Ford Escape," 135,252Km
"," 2008
", Nigerian Used  ," 906,000                                        
                                    "
2005 Lexus Es 330," 168,447Km
"," 2005
", Nigerian Used  ," 1,578,000                                        
                                    "
Lexus Es 350 2008," 180,684Km
"," 2008
", Nigerian Used  ," 3,146,000                                        
                                    "
2004 Toyota Camry," 107,222Km
"," 2004
", Foreign Used  ," 2,250,000                                        
                                    "
2007 Toyota Yaris," 137,400Km
"," 2007
", Nigerian Used  ," 1,130,000                                        
                                    "
2017 Toyota Camry," 20,873Km
"," 2017
", Nigerian Used  ," 7,290,000                                        
                                    "
2007 Toyota Corolla," 221,421Km
"," 2007
", Nigerian Used  ," 1,746,000                                        
                                    "
2003 Toyota Camry," 328,916Km
"," 2003
", Nigerian Used  ," 1,578,000                                        
                                    "
2005 Honda Accord," 232,654Km
"," 2005
", Nigerian Used  ," 1,130,000                                        
                                    "
2002 Nissan Primera," 202,124Km
"," 2002
", Foreign Used  ," 1,130,000                                        
                                    "
2006 Mercedes-Benz Ml350," 112,478Km
"," 2006
", Foreign Used  ," 3,034,000                                        
                                    "
2009 Toyota Corolla," 174,579Km
"," 2009
", Foreign Used  ," 4,042,000                                        
                                    "
2005 Volvo Xc90," 134,799Km
"," 2005
", Nigerian Used  ," 1,130,000                                        
                                    "
2006 Toyota Solara," 75,541Km
"," 2006
", Nigerian Used  ," 1,242,000                                        
                                    "
2007 Mercedes-Benz R350," 212,438Km
"," 2007
", Foreign Used  ," 3,370,000                                        
                                    "
2006 Toyota Matrix," 99,999Km
"," 2006
", Nigerian Used  ," 1,466,000                                        
                                    "
2007 Lexus Is 350," 181,452Km
"," 2007
", Foreign Used  ," 2,922,000                                        
                                    "
